PROCESO	INDICADOR	ETAPA	CICLO	CURSO	UNIDAD	VALORR	VALORC
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.4 Grado de satisfacci¢n del profesorado con la Pastoral	PRIMARIA	3ß CICLO PRIMARIA	6ß de Educ. Prima.	EPO 6ßB	NA	70
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.4 Grado de satisfacci¢n del profesorado con la Pastoral	PRIMARIA	3ß CICLO PRIMARIA	5ß de Educ. Prima.	EPO 5ßB	NA	70
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.4 Grado de satisfacci¢n del profesorado con la Pastoral	PRIMARIA	3ß CICLO PRIMARIA	5ß de Educ. Prima.	EPO 5ßA	NA	70
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.4 Grado de satisfacci¢n del profesorado con la Pastoral	PRIMARIA	2ß CICLO PRIMARIA	4ß de Educ. Prima.	EPO 4ßA	NA	70
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.4 Grado de satisfacci¢n del profesorado con la Pastoral	PRIMARIA	2ß CICLO PRIMARIA	4ß de Educ. Prima.	EPO 4ßB	NA	70
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.4 Grado de satisfacci¢n del profesorado con la Pastoral	PRIMARIA	2ß CICLO PRIMARIA	3ß de Educ. Prima.	EPO 3ßA	NA	70
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.4 Grado de satisfacci¢n del profesorado con la Pastoral	PRIMARIA	2ß CICLO PRIMARIA	3ß de Educ. Prima.	EPO 3ßB	NA	70
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.4 Grado de satisfacci¢n del profesorado con la Pastoral	PRIMARIA	1ß CICLO PRIMARIA	2ß de Educ. Prima.	EPO 2ßB	NA	70
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.4 Grado de satisfacci¢n del profesorado con la Pastoral	PRIMARIA	1ß CICLO PRIMARIA	2ß de Educ. Prima.	EPO 2ßA	NA	70
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.4 Grado de satisfacci¢n del profesorado con la Pastoral	PRIMARIA	1ß CICLO PRIMARIA	1ß de Educ. Prima.	EPO 1ßA	49,13	70
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.4 Grado de satisfacci¢n del profesorado con la Pastoral	PRIMARIA	1ß CICLO PRIMARIA	1ß de Educ. Prima.	EPO 1ßB	NA	70
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.4 Grado de satisfacci¢n del profesorado con la Pastoral	INFANTIL	2ß CICLO INFANTIL	Tres A§os	E.Inf. 3.A	70,67	70
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.4 Grado de satisfacci¢n del profesorado con la Pastoral	INFANTIL	2ß CICLO INFANTIL	Tres A§os	E.Inf. 3.B	NA	70
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.4 Grado de satisfacci¢n del profesorado con la Pastoral	INFANTIL	2ß CICLO INFANTIL	Cuatro A§os	E.Inf. 4.B	NA	70
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.4 Grado de satisfacci¢n del profesorado con la Pastoral	INFANTIL	2ß CICLO INFANTIL	Cuatro A§os	E.Inf. 4.A	NA	70
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.4 Grado de satisfacci¢n del profesorado con la Pastoral	INFANTIL	2ß CICLO INFANTIL	Cinco A§os	E.Inf. 5.A	NA	70
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.4 Grado de satisfacci¢n del profesorado con la Pastoral	INFANTIL	2ß CICLO INFANTIL	Cinco A§os	E.Inf. 5.B	NA	70
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.4 Grado de satisfacci¢n del profesorado con la Pastoral	FORMACION PROFESIONAL	FORMACI‡N PROFESIONAL BµSICA	2ß de F.P.B. (Electricidad y Electr¢nica)	2ß FPB	NA	70
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.4 Grado de satisfacci¢n del profesorado con la Pastoral	FORMACION PROFESIONAL	FORMACI‡N PROFESIONAL BµSICA	1ß de F.P.B. (Electricidad y Electr¢nica)	1ß FPB	NA	70
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.4 Grado de satisfacci¢n del profesorado con la Pastoral	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO SUPERIOR	2ß F.P.I.G.S. (Desarrollo de Aplicaciones Multiplataforma)	2 D.A.Mult	NA	70
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.4 Grado de satisfacci¢n del profesorado con la Pastoral	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO SUPERIOR	2ß F.P.I.G.S. (Administraci¢n y Finanzas)	2ß Adm-Fin	NA	70
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.4 Grado de satisfacci¢n del profesorado con la Pastoral	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO SUPERIOR	1ß F.P.I.G.S. (Desarrollo de Aplicaciones Multiplataforma)	1 D.A.Mult	NA	70
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.4 Grado de satisfacci¢n del profesorado con la Pastoral	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO SUPERIOR	1ß F.P.I.G.S. (Administraci¢n y Finanzas)	1ß Adm-Fin	NA	70
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.4 Grado de satisfacci¢n del profesorado con la Pastoral	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO MEDIO	2ß F.P.I.G.M. (Instalaciones de Telecomunicaciones)	2ß ITelec	NA	70
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.4 Grado de satisfacci¢n del profesorado con la Pastoral	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO MEDIO	2ß F.P.I.G.M. (Instalaciones ElÇctricas y Autom†ticas)	2ß Ins Aut	NA	70
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.4 Grado de satisfacci¢n del profesorado con la Pastoral	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO MEDIO	2ß F.P.I.G.M. (Gesti¢n Administrativa)	2ß Gesti¢n	NA	70
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.4 Grado de satisfacci¢n del profesorado con la Pastoral	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO MEDIO	2ß F.P.I.G.M. (Actividades Comerciales)	2ß Comerci	NA	70
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.4 Grado de satisfacci¢n del profesorado con la Pastoral	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO MEDIO	1ß F.P.I.G.M. (Instalaciones de Telecomunicaciones)	1ß ITelec	NA	70
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.4 Grado de satisfacci¢n del profesorado con la Pastoral	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO MEDIO	1ß F.P.I.G.M. (Instalaciones ElÇctricas y Autom†ticas)	1ß Ins Aut	NA	70
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.4 Grado de satisfacci¢n del profesorado con la Pastoral	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO MEDIO	1ß F.P.I.G.M. (Gesti¢n Administrativa)	1ß Gesti¢n	NA	70
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.4 Grado de satisfacci¢n del profesorado con la Pastoral	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO MEDIO	1ß F.P.I.G.M. (Actividades Comerciales)	1ß Comerci	30,52	70
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.4 Grado de satisfacci¢n del profesorado con la Pastoral	BACHILLERATO	2ß CICLO BACHILLER	SEGUNDO BACHILLERATO	2ßB Bach	NA	70
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.4 Grado de satisfacci¢n del profesorado con la Pastoral	BACHILLERATO	2ß CICLO BACHILLER	SEGUNDO BACHILLERATO	2ßC Bach	NA	70
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.4 Grado de satisfacci¢n del profesorado con la Pastoral	BACHILLERATO	2ß CICLO BACHILLER	SEGUNDO BACHILLERATO	2ßA Bach	NA	70
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.4 Grado de satisfacci¢n del profesorado con la Pastoral	BACHILLERATO	1ß CICLO BACHILLER	PRIMERO BACHILLERATO	1ßC Bach	NA	70
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.4 Grado de satisfacci¢n del profesorado con la Pastoral	BACHILLERATO	1ß CICLO BACHILLER	PRIMERO BACHILLERATO	1ßA Bach	9,12	70
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.4 Grado de satisfacci¢n del profesorado con la Pastoral	BACHILLERATO	1ß CICLO BACHILLER	PRIMERO BACHILLERATO	1ßB Bach	NA	70
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.3 Grado de satisfacci¢n de las Familias con la Pastoral	SECUNDARIA	4ß CICLO ESO	4ß de E.S.O.	ESO 4ßC	19,24	80
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.3 Grado de satisfacci¢n de las Familias con la Pastoral	SECUNDARIA	4ß CICLO ESO	4ß de E.S.O.	ESO 4ßB	27,43	80
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.3 Grado de satisfacci¢n de las Familias con la Pastoral	SECUNDARIA	4ß CICLO ESO	4ß de E.S.O.	ESO 4ßA	72,77	80
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.3 Grado de satisfacci¢n de las Familias con la Pastoral	SECUNDARIA	3ß CICLO ESO	3ß de E.S.O.	ESO 3ßB	85,29	80
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.3 Grado de satisfacci¢n de las Familias con la Pastoral	SECUNDARIA	3ß CICLO ESO	3ß de E.S.O.	ESO 3ßA	32,1	80
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.3 Grado de satisfacci¢n de las Familias con la Pastoral	SECUNDARIA	3ß CICLO ESO	3ß de E.S.O.	ESO 3ßC	70,22	80
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.3 Grado de satisfacci¢n de las Familias con la Pastoral	SECUNDARIA	2ß CICLO ESO	2ß de E.S.O.	ESO 2ßB	59,63	80
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.3 Grado de satisfacci¢n de las Familias con la Pastoral	SECUNDARIA	2ß CICLO ESO	2ß de E.S.O.	ESO 2ßA	7,19	80
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.3 Grado de satisfacci¢n de las Familias con la Pastoral	SECUNDARIA	2ß CICLO ESO	2ß de E.S.O.	ESO 2ßC	95,5	80
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.3 Grado de satisfacci¢n de las Familias con la Pastoral	SECUNDARIA	1ß CICLO ESO	1ß de E.S.O.	ESO 1ßC	90,08	80
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.3 Grado de satisfacci¢n de las Familias con la Pastoral	SECUNDARIA	1ß CICLO ESO	1ß de E.S.O.	ESO 1ßA	22,31	80
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.3 Grado de satisfacci¢n de las Familias con la Pastoral	SECUNDARIA	1ß CICLO ESO	1ß de E.S.O.	ESO 1ßB	25,16	80
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.3 Grado de satisfacci¢n de las Familias con la Pastoral	PRIMARIA	3ß CICLO PRIMARIA	6ß de Educ. Prima.	EPO 6ßA	90,11	80
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.3 Grado de satisfacci¢n de las Familias con la Pastoral	PRIMARIA	3ß CICLO PRIMARIA	6ß de Educ. Prima.	EPO 6ßB	68,48	80
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.3 Grado de satisfacci¢n de las Familias con la Pastoral	PRIMARIA	3ß CICLO PRIMARIA	5ß de Educ. Prima.	EPO 5ßB	47,46	80
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.3 Grado de satisfacci¢n de las Familias con la Pastoral	PRIMARIA	3ß CICLO PRIMARIA	5ß de Educ. Prima.	EPO 5ßA	77,67	80
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.3 Grado de satisfacci¢n de las Familias con la Pastoral	PRIMARIA	2ß CICLO PRIMARIA	4ß de Educ. Prima.	EPO 4ßA	65,75	80
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.3 Grado de satisfacci¢n de las Familias con la Pastoral	PRIMARIA	2ß CICLO PRIMARIA	4ß de Educ. Prima.	EPO 4ßB	6,57	80
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.3 Grado de satisfacci¢n de las Familias con la Pastoral	PRIMARIA	2ß CICLO PRIMARIA	3ß de Educ. Prima.	EPO 3ßB	7,17	80
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.3 Grado de satisfacci¢n de las Familias con la Pastoral	PRIMARIA	2ß CICLO PRIMARIA	3ß de Educ. Prima.	EPO 3ßA	39,67	80
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.3 Grado de satisfacci¢n de las Familias con la Pastoral	PRIMARIA	1ß CICLO PRIMARIA	2ß de Educ. Prima.	EPO 2ßA	79,88	80
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.3 Grado de satisfacci¢n de las Familias con la Pastoral	PRIMARIA	1ß CICLO PRIMARIA	2ß de Educ. Prima.	EPO 2ßB	30,65	80
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.3 Grado de satisfacci¢n de las Familias con la Pastoral	PRIMARIA	1ß CICLO PRIMARIA	1ß de Educ. Prima.	EPO 1ßA	65,13	80
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.3 Grado de satisfacci¢n de las Familias con la Pastoral	PRIMARIA	1ß CICLO PRIMARIA	1ß de Educ. Prima.	EPO 1ßB	27,97	80
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.3 Grado de satisfacci¢n de las Familias con la Pastoral	INFANTIL	2ß CICLO INFANTIL	Tres A§os	E.Inf. 3.B	91,91	90
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.3 Grado de satisfacci¢n de las Familias con la Pastoral	INFANTIL	2ß CICLO INFANTIL	Tres A§os	E.Inf. 3.A	22,83	90
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.3 Grado de satisfacci¢n de las Familias con la Pastoral	INFANTIL	2ß CICLO INFANTIL	Cuatro A§os	E.Inf. 4.A	96,57	90
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.3 Grado de satisfacci¢n de las Familias con la Pastoral	INFANTIL	2ß CICLO INFANTIL	Cuatro A§os	E.Inf. 4.B	37,82	90
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.3 Grado de satisfacci¢n de las Familias con la Pastoral	INFANTIL	2ß CICLO INFANTIL	Cinco A§os	E.Inf. 5.A	25,66	90
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.3 Grado de satisfacci¢n de las Familias con la Pastoral	INFANTIL	2ß CICLO INFANTIL	Cinco A§os	E.Inf. 5.B	34,95	90
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.3 Grado de satisfacci¢n de las Familias con la Pastoral	FORMACION PROFESIONAL	FORMACI‡N PROFESIONAL BµSICA	2ß de F.P.B. (Electricidad y Electr¢nica)	2ß FPB	98	70
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.3 Grado de satisfacci¢n de las Familias con la Pastoral	FORMACION PROFESIONAL	FORMACI‡N PROFESIONAL BµSICA	1ß de F.P.B. (Electricidad y Electr¢nica)	1ß FPB	6,77	70
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.3 Grado de satisfacci¢n de las Familias con la Pastoral	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO SUPERIOR	2ß F.P.I.G.S. (Desarrollo de Aplicaciones Multiplataforma)	2 D.A.Mult	NA	70
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.3 Grado de satisfacci¢n de las Familias con la Pastoral	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO SUPERIOR	2ß F.P.I.G.S. (Administraci¢n y Finanzas)	2ß Adm-Fin	3,63	70
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.3 Grado de satisfacci¢n de las Familias con la Pastoral	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO SUPERIOR	1ß F.P.I.G.S. (Desarrollo de Aplicaciones Multiplataforma)	1 D.A.Mult	61,26	70
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.3 Grado de satisfacci¢n de las Familias con la Pastoral	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO SUPERIOR	1ß F.P.I.G.S. (Administraci¢n y Finanzas)	1ß Adm-Fin	19,03	70
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.3 Grado de satisfacci¢n de las Familias con la Pastoral	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO MEDIO	2ß F.P.I.G.M. (Instalaciones de Telecomunicaciones)	2ß ITelec	97,74	70
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.3 Grado de satisfacci¢n de las Familias con la Pastoral	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO MEDIO	2ß F.P.I.G.M. (Instalaciones ElÇctricas y Autom†ticas)	2ß Ins Aut	NA	70
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.3 Grado de satisfacci¢n de las Familias con la Pastoral	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO MEDIO	2ß F.P.I.G.M. (Gesti¢n Administrativa)	2ß Gesti¢n	NA	70
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.3 Grado de satisfacci¢n de las Familias con la Pastoral	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO MEDIO	2ß F.P.I.G.M. (Actividades Comerciales)	2ß Comerci	42,12	70
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.3 Grado de satisfacci¢n de las Familias con la Pastoral	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO MEDIO	1ß F.P.I.G.M. (Instalaciones de Telecomunicaciones)	1ß ITelec	90,92	70
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.3 Grado de satisfacci¢n de las Familias con la Pastoral	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO MEDIO	1ß F.P.I.G.M. (Instalaciones ElÇctricas y Autom†ticas)	1ß Ins Aut	26,72	70
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.3 Grado de satisfacci¢n de las Familias con la Pastoral	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO MEDIO	1ß F.P.I.G.M. (Gesti¢n Administrativa)	1ß Gesti¢n	45,29	70
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.3 Grado de satisfacci¢n de las Familias con la Pastoral	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO MEDIO	1ß F.P.I.G.M. (Actividades Comerciales)	1ß Comerci	98,96	70
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.3 Grado de satisfacci¢n de las Familias con la Pastoral	BACHILLERATO	2ß CICLO BACHILLER	SEGUNDO BACHILLERATO	2ßB Bach	62,69	80
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.3 Grado de satisfacci¢n de las Familias con la Pastoral	BACHILLERATO	2ß CICLO BACHILLER	SEGUNDO BACHILLERATO	2ßA Bach	12,09	80
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.3 Grado de satisfacci¢n de las Familias con la Pastoral	BACHILLERATO	2ß CICLO BACHILLER	SEGUNDO BACHILLERATO	2ßC Bach	86,57	80
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.3 Grado de satisfacci¢n de las Familias con la Pastoral	BACHILLERATO	1ß CICLO BACHILLER	PRIMERO BACHILLERATO	1ßC Bach	37,26	80
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.3 Grado de satisfacci¢n de las Familias con la Pastoral	BACHILLERATO	1ß CICLO BACHILLER	PRIMERO BACHILLERATO	1ßA Bach	99,12	80
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.3 Grado de satisfacci¢n de las Familias con la Pastoral	BACHILLERATO	1ß CICLO BACHILLER	PRIMERO BACHILLERATO	1ßB Bach	97,21	80
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.2 Grado de satisfacci¢n de los alumnos con la Pastoral	SECUNDARIA	4ß CICLO ESO	4ß de E.S.O.	ESO 4ßB	92,77	70
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.2 Grado de satisfacci¢n de los alumnos con la Pastoral	SECUNDARIA	4ß CICLO ESO	4ß de E.S.O.	ESO 4ßC	44,48	70
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.2 Grado de satisfacci¢n de los alumnos con la Pastoral	SECUNDARIA	4ß CICLO ESO	4ß de E.S.O.	ESO 4ßA	78,59	70
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.2 Grado de satisfacci¢n de los alumnos con la Pastoral	SECUNDARIA	3ß CICLO ESO	3ß de E.S.O.	ESO 3ßA	45,69	70
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.2 Grado de satisfacci¢n de los alumnos con la Pastoral	SECUNDARIA	3ß CICLO ESO	3ß de E.S.O.	ESO 3ßB	12,35	70
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.2 Grado de satisfacci¢n de los alumnos con la Pastoral	SECUNDARIA	3ß CICLO ESO	3ß de E.S.O.	ESO 3ßC	0,64	70
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.2 Grado de satisfacci¢n de los alumnos con la Pastoral	SECUNDARIA	2ß CICLO ESO	2ß de E.S.O.	ESO 2ßC	81,84	70
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.2 Grado de satisfacci¢n de los alumnos con la Pastoral	SECUNDARIA	2ß CICLO ESO	2ß de E.S.O.	ESO 2ßB	86,7	70
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.2 Grado de satisfacci¢n de los alumnos con la Pastoral	SECUNDARIA	2ß CICLO ESO	2ß de E.S.O.	ESO 2ßA	70,4	70
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.2 Grado de satisfacci¢n de los alumnos con la Pastoral	SECUNDARIA	1ß CICLO ESO	1ß de E.S.O.	ESO 1ßA	91,17	70
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.2 Grado de satisfacci¢n de los alumnos con la Pastoral	SECUNDARIA	1ß CICLO ESO	1ß de E.S.O.	ESO 1ßC	53,4	70
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.2 Grado de satisfacci¢n de los alumnos con la Pastoral	SECUNDARIA	1ß CICLO ESO	1ß de E.S.O.	ESO 1ßB	79,81	70
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.2 Grado de satisfacci¢n de los alumnos con la Pastoral	PRIMARIA	3ß CICLO PRIMARIA	6ß de Educ. Prima.	EPO 6ßB	34,11	80
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.2 Grado de satisfacci¢n de los alumnos con la Pastoral	PRIMARIA	3ß CICLO PRIMARIA	6ß de Educ. Prima.	EPO 6ßA	77,41	80
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.2 Grado de satisfacci¢n de los alumnos con la Pastoral	PRIMARIA	3ß CICLO PRIMARIA	5ß de Educ. Prima.	EPO 5ßA	31,63	80
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.2 Grado de satisfacci¢n de los alumnos con la Pastoral	PRIMARIA	3ß CICLO PRIMARIA	5ß de Educ. Prima.	EPO 5ßB	5,21	80
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.2 Grado de satisfacci¢n de los alumnos con la Pastoral	FORMACION PROFESIONAL	FORMACI‡N PROFESIONAL BµSICA	2ß de F.P.B. (Electricidad y Electr¢nica)	2ß FPB	NA	60
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.2 Grado de satisfacci¢n de los alumnos con la Pastoral	FORMACION PROFESIONAL	FORMACI‡N PROFESIONAL BµSICA	1ß de F.P.B. (Electricidad y Electr¢nica)	1ß FPB	15,63	60
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.2 Grado de satisfacci¢n de los alumnos con la Pastoral	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO SUPERIOR	2ß F.P.I.G.S. (Desarrollo de Aplicaciones Multiplataforma)	2 D.A.Mult	99,6	60
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.2 Grado de satisfacci¢n de los alumnos con la Pastoral	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO SUPERIOR	2ß F.P.I.G.S. (Administraci¢n y Finanzas)	2ß Adm-Fin	78,4	60
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.2 Grado de satisfacci¢n de los alumnos con la Pastoral	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO SUPERIOR	1ß F.P.I.G.S. (Desarrollo de Aplicaciones Multiplataforma)	1 D.A.Mult	77,36	60
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.2 Grado de satisfacci¢n de los alumnos con la Pastoral	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO SUPERIOR	1ß F.P.I.G.S. (Administraci¢n y Finanzas)	1ß Adm-Fin	60,83	60
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.2 Grado de satisfacci¢n de los alumnos con la Pastoral	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO MEDIO	2ß F.P.I.G.M. (Instalaciones de Telecomunicaciones)	2ß ITelec	NA	60
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.2 Grado de satisfacci¢n de los alumnos con la Pastoral	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO MEDIO	2ß F.P.I.G.M. (Instalaciones ElÇctricas y Autom†ticas)	2ß Ins Aut	NA	60
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.2 Grado de satisfacci¢n de los alumnos con la Pastoral	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO MEDIO	2ß F.P.I.G.M. (Gesti¢n Administrativa)	2ß Gesti¢n	NA	60
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.2 Grado de satisfacci¢n de los alumnos con la Pastoral	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO MEDIO	2ß F.P.I.G.M. (Actividades Comerciales)	2ß Comerci	26,01	60
P.C. 10. ACCI‡N PASTORAL ESCOLAR	IND 10.2 Grado de satisfacci¢n de los alumnos con la Pastoral	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO MEDIO	1ß F.P.I.G.M. (Instalaciones de Telecomunicaciones)	1ß ITelec	59,2	60
